0.9382554258342916		SimpleArgument(Clyde Williams,List([0, 14)))	Relation(is running for Congress in,List([15, 25), [26, 38), [39, 41)))	SpatialArgument(New York's 13th Congressional District,List([42, 80)))	Clyde Williams is running for Congress in New York's 13th Congressional District.
0.9216169339561846		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided technical support to,List([98, 106), [107, 124), [125, 127)))	SimpleArgument(foster,List([128, 134)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9216169339561846		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided,List([98, 106)))	SimpleArgument(technical support,List([107, 124)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.7785192314626135		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the Foundation , provided managerial support,List([0, 120)))	Relation(was,List([155, 158)))	SimpleArgument(the extensive partnership of its kind,List([159, 196)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.7785192314626135		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the Foundation , provided managerial support,List([0, 120)))	Relation(was,List([155, 158)))	SimpleArgument(the most comprehensive partnership of its kind,List([159, 205)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8100481716408932		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the Foundation , provided managerial support to foster,List([0, 130)))	Relation(was,List([133, 136)))	SimpleArgument(the extensive partnership of its kind,List([137, 174)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8100481716408932		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the Foundation , provided managerial support to foster,List([0, 130)))	Relation(was,List([133, 136)))	SimpleArgument(the most comprehensive partnership of its kind,List([137, 183)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8961217341469028		SimpleArgument(the Foundation,List([76, 90)))	Relation(provided managerial support,List([93, 101), [102, 120)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9143456855143793		SimpleArgument(the Foundation,List([76, 90)))	Relation(provided managerial support to,List([93, 101), [102, 120), [121, 123)))	SimpleArgument(foster,List([124, 130)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9143456855143793		SimpleArgument(the Foundation,List([76, 90)))	Relation(provided,List([93, 101)))	SimpleArgument(managerial support,List([102, 120)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.850715151117466		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the Foundation , provided technical support expand small business in Harlem,List([0, 151)))	Relation(was,List([154, 157)))	SimpleArgument(the extensive partnership of its kind,List([158, 195)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8691305927194057		SimpleArgument(the Foundation,List([76, 90)))	Relation(provided technical support expand small business in Harlem,List([93, 101), [102, 151)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9081624858232069		SimpleArgument(the Foundation,List([76, 90)))	Relation(provided,List([93, 101)))	SimpleArgument(technical support expand small business in Harlem,List([102, 151)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.850715151117466		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the Foundation , provided technical support expand small business in Harlem,List([0, 151)))	Relation(was,List([154, 157)))	SimpleArgument(the most comprehensive partnership of its kind,List([158, 204)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8100481716408932		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the Foundation , provided technical support to foster,List([0, 129)))	Relation(was,List([132, 135)))	SimpleArgument(the extensive partnership of its kind,List([136, 173)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8100481716408932		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the Foundation , provided technical support to foster,List([0, 129)))	Relation(was,List([132, 135)))	SimpleArgument(the most comprehensive partnership of its kind,List([136, 182)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8961217341469028		SimpleArgument(the Foundation,List([76, 90)))	Relation(provided technical support,List([93, 101), [102, 119)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9143456855143793		SimpleArgument(the Foundation,List([76, 90)))	Relation(provided technical support to,List([93, 101), [102, 119), [120, 122)))	SimpleArgument(foster,List([123, 129)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9143456855143793		SimpleArgument(the Foundation,List([76, 90)))	Relation(provided,List([93, 101)))	SimpleArgument(technical support,List([102, 119)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.7665350501724939		SimpleArgument(The program,List([0, 11)))	Relation(has expanded,List([12, 24)))	SpatialArgument(nationally,List([25, 35)))	The program has since been replicated and expanded nationally.
0.9000738595917936		SimpleArgument(Clyde,List([0, 5)))	Relation(earned a Bachelor 's Degree from,List([6, 12), [13, 32), [54, 58)))	SimpleArgument(Howard University,List([59, 76)))	Clyde earned a Bachelor's Degree in Political Science from Howard University.
0.9324144673478683		SimpleArgument(Clyde,List([0, 5)))	Relation(earned a Bachelor 's Degree in,List([6, 12), [13, 32), [33, 35)))	SpatialArgument(Political Science,List([36, 53)))	Clyde earned a Bachelor's Degree in Political Science from Howard University.
0.9324144673478683		SimpleArgument(Clyde,List([0, 5)))	Relation(earned,List([6, 12)))	SimpleArgument(a Bachelor's Degree,List([13, 32)))	Clyde earned a Bachelor's Degree in Political Science from Howard University.
0.6381012045821894		SimpleArgument(his wife,List([0, 8)))	Relation(have,List([9, 13)))	SimpleArgument(two children,List([14, 26)))	He is married and he and his wife have two children.
0.45170382506656653		SimpleArgument(he,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(two children,List([8, 20)))	He is married and he and his wife have two children.
0.27813615858960106		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(married,List([6, 13)))	He is married and he and his wife have two children.
