0.9449993708870406		SimpleArgument(May 19, 2011,List([41, 53)))	Relation(was,List([55, 58)))	SimpleArgument(an American casino executive,List([59, 87)))	Don Hamilton Barden (December 20, 1943 – May 19, 2011) was an American casino executive.
0.944056173886228		SimpleArgument(Majestic Star casinos in Mississippi,List([0, 36)))	Relation(filed for,List([37, 42), [43, 46)))	SimpleArgument(bankruptcy,List([47, 57)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.9530647582435334		SimpleArgument(Majestic Star casinos in Indiana,List([0, 32)))	Relation(filed for bankruptcy in,List([33, 38), [39, 53), [54, 56)))	TemporalArgument(November 2009,List([57, 70)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.944056173886228		SimpleArgument(Majestic Star casinos in Indiana,List([0, 32)))	Relation(filed for,List([33, 38), [39, 42)))	SimpleArgument(bankruptcy,List([43, 53)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.9426897092628826		SimpleArgument(the facilities,List([18, 32)))	Relation(were turned over to creditors In,List([0, 44), [45, 52), [53, 62)))	TemporalArgument(December 2011,List([3, 16)))	In December 2011, the facilities were turned over to creditors.
0.9030401971054747		SimpleArgument(the facilities,List([18, 32)))	Relation(were turned over to,List([33, 49), [50, 52)))	SimpleArgument(creditors,List([53, 62)))	In December 2011, the facilities were turned over to creditors.
0.8974996057989925		SimpleArgument(Barden 's ownership in the Pittsburgh , Pennsylvania casino,List([0, 59)))	Relation(were,List([60, 64)))	SimpleArgument(separately,List([65, 75)))	The Nevada casino and Barden's ownership in the Pittsburgh, Pennsylvania casino were separately held and were not part of the bankruptcy.
0.9216169339561846		SimpleArgument(The Nevada casino,List([0, 17)))	Relation(were not,List([34, 42)))	SimpleArgument(part of the bankruptcy,List([43, 65)))	The Nevada casino and Barden's ownership in the Pittsburgh, Pennsylvania casino were separately held and were not part of the bankruptcy.
0.8306090960787457		SimpleArgument(The Nevada casino,List([0, 17)))	Relation(were,List([18, 22)))	SimpleArgument(separately,List([23, 33)))	The Nevada casino and Barden's ownership in the Pittsburgh, Pennsylvania casino were separately held and were not part of the bankruptcy.
0.8794885237265269		SimpleArgument(Barden 's ownership in the Pittsburgh , Pennsylvania casino,List([0, 59)))	Relation(were separately held,List([60, 80)))		The Nevada casino and Barden's ownership in the Pittsburgh, Pennsylvania casino were separately held and were not part of the bankruptcy.
0.8034186648553394		SimpleArgument(The Nevada casino,List([0, 17)))	Relation(were separately held,List([18, 38)))		The Nevada casino and Barden's ownership in the Pittsburgh, Pennsylvania casino were separately held and were not part of the bankruptcy.
